Produit;valeur energetique KJ);quantité d’acides gras satures (g);quantite de sucres (g);quantite de Sodium (mg/g);quantite de proteines (g);quantite de Fibres (g);teneur en Fruits/Legumes/Fruits a coques;Score issue de nutri Score;label nutri Score;Green label;green score;Bio or no;Nombre d'aditif;URL
Kinder Country – Kinder, Ferrero – 211.5 g;2342;21.9;49.1;1.1;8.6;2.0;0.0;31.0;e;e;26.0;Non;2;https://world.openfoodfacts.org/product/4008400260921/kinder-country
Bran Flakes – Crownfield,Lidl – 500 g;1526;0.5;13.2;2.52;11.1;17.2;0.0;1.0;b;e;29.0;Non;0;https://world.openfoodfacts.org/product/20621483/bran-flakes-crownfield
Tortillas de trigo integrales – Hacendado – 360 g;1132;1.9;2.1;6.0;9.3;8.5;0.0;6.0;c;b;73.0;Non;9;https://world.openfoodfacts.org/product/8480000809421/tortillas-100-integrales-hacendado
Avena Crunchy Cacao – Hacendado – 400 g;1656;1.6;9.0;0.72;13.0;11.0;0.0;-3.0;a;e;29.0;Non;1;https://world.openfoodfacts.org/product/8402001015205/avena-crunchy-cacao-hacendado
Flocons d'avoine complète – Quaker Oats – 800 g;1570;1.5;1.1;0.04;11.0;9.0;0.0;-4.0;a;a;86.0;Non;0;https://world.openfoodfacts.org/product/3168930003632/flocons-d-avoine-complete-quaker-oats
8 Pains au lait frais Bio 280g – La Boulangère Bio, La boulangere – 280 g;1451;1.2;8.7;3.6;9.3;2.4;0.0;11.0;d;a;91.0;Oui;0;https://world.openfoodfacts.org/product/3284230011884/8-pains-au-lait-frais-bio-280g-la-boulangere-bio
Biscottes sans sel et sans sucre ajoutés – Pasquier – 300 g;1635;0.5;2.2;0.08;15.0;7.0;0.0;-6.0;a;a;76.0;Non;1;https://world.openfoodfacts.org/product/3182189999805/biscottes-sans-sel-et-sans-sucre-ajoutes-pasquier
Pain de mie american sandwich rustique sans sucres ajoutés 500g – Harry's – 500 g;1233;0.8;3.0;4.0;11.0;8.7;6.15000000000004;-2.0;a;a;79.0;Non;0;https://world.openfoodfacts.org/product/3228857002245/american-sandwich-rustique-seigle-et-graines-harry-s
Sablés chocolat – McVitie's – 300 g;2078;12.4;28.5;3.76;6.7;3.0;0.0;28.0;e;d;40.0;Non;5;https://world.openfoodfacts.org/product/5000168198514/sables-chocolat-mcvitie-s
Tartine p'tit dej complet ssa – Jacquet – 410 g;1127;0.5;5.3;4.0;10.0;6.2;3.3515625;1.0;b;a;79.0;Non;0;https://world.openfoodfacts.org/product/3029330069898/tartine-p-tit-dej-complet-ssa-410g-jacquet
La Biscotte 96% de céréales – Heudebert – 2 x 150 g;1722;3.4;6.8;4.8;11.0;3.6;0.0;13.0;d;a;75.0;Non;3;https://world.openfoodfacts.org/product/7622210416629/la-biscotte-96-de-cereales-heudebert
Extra moelleux nature – HARRYS – 500 g;1202;0.5;6.5;4.72;8.1;5.0;7.48374999999999;4.0;c;a;83.0;Non;0;https://world.openfoodfacts.org/product/3228857000883/extra-moelleux-nature-harrys
Pain complet – Jacquet – 825 g;1038;0.3;3.8;4.8;8.7;6.6;12.0;2.0;b;a;82.0;Non;0;https://world.openfoodfacts.org/product/3029330071280/pain-complet-jacquet
Corn Flakes 0% azúcares añadidos – Hacendado – 30;1583;0.4;0.9;4.0;6.7;4.4;0.0;4.0;c;c;48.0;Non;1;https://world.openfoodfacts.org/product/8480000229663/corn-flakes-0-azucares-anadidos-hacendado
Muesli bio 36% fruits, noix & graines – Jordans – 500 g;1569;2.8;18.9;0.12;9.3;8.5;17.5;6.0;c;a;82.0;Oui;0;https://world.openfoodfacts.org/product/5010477348630/muesli-bio-36-fruits-noix-graines-jordans
Belgian Dark Chocolate Rice Cake Thins imp – Kallø – 90g;2039;14.6;23.4;0.0;6.8;7.4;0.0;18.0;d;a;78.0;Oui;0;https://world.openfoodfacts.org/product/5013665103028/belgian-dark-chocolate-rice-cake-thins-imp-kall%C3%B8
Céréales All Bran Kellogg's Fibre Plus – Kellogg's – 500 g;1400;0.7;18.0;3.8;14.0;27.0;0.0;8.0;c;d;40.0;Non;0;https://world.openfoodfacts.org/product/3159470001424/all-bran-fibre-plus-kellogg-s
Maxi Tranches Sans sucre ajouté Nature – Jacquet – 550 g;1054;0.3;4.5;4.4;8.3;3.4;7.33333333333334;5.0;c;a;83.0;Non;0;https://world.openfoodfacts.org/product/3029330022411/maxi-tranches-sans-sucre-ajoute-nature-jacquet
Grape-Nuts – Post – 580 g;1516;0.3;8.9;4.0;11.2;12.0;0.0;1.0;b;d;35.0;Non;0;https://world.openfoodfacts.org/product/0884912005502/grape-nuts-post
Crousti' Avoine Chocolat – Bjorg – 500 g;1747;4.4;14.0;0.4;10.0;9.5;0.450000000000003;7.0;c;a;87.0;Oui;2;https://world.openfoodfacts.org/product/3229820786605/crousti-avoine-chocolat-bjorg
Grilletine Sans sucres ajoutés Blé complet – Pasquier – 255 g;1690;2.4;2.1;3.6;13.0;12.7;0.0;6.0;c;a;85.0;Non;1;https://world.openfoodfacts.org/product/3182180002542/grilletine-sans-sucres-ajoutes-ble-complet-pasquier
Cookie crisp,Nestlé – 375 g;1659;0.9;22.4;2.64;6.7;6.0;0.0;10.0;c;d;44.0;Non;2;https://world.openfoodfacts.org/product/3387390326574/cereales-pretes-a-consommer-avec-des-pepites-saveur-chocolat-3-avec-6-vitamines-calcium-et-fer-cookie-crisp
Muesli bio chocolat noir – Jordans – 450 g;1672;3.1;8.9;0.12;9.1;4.1;0.0;5.0;c;a;86.0;Oui;1;https://world.openfoodfacts.org/product/5010477356239/muesli-bio-chocolat-noir-jordans
Galettes de Maïs – Bio Organic,Lidl,Sondey – 130 g;1623;0.2;0.2;1.24;7.0;0.0;0.0;3.0;c;b;69.0;Oui;0;https://world.openfoodfacts.org/product/4334035071848/galettes-de-mais-bio-organic
Beau & bon pain de mie complet lin tournesol 320g – Harrys – 320 g;1273;1.0;3.5;3.6;11.0;7.0;2.10000000000001;0.0;a;b;73.0;Non;0;https://world.openfoodfacts.org/product/3228857001101/beau-bon-pain-de-mie-complet-lin-tournesol-320g-harrys
Pain de mie Bio grandes tranches complet sans sucres ajoutés 500g – La Boulangère – 500 g;1060;0.5;1.9;3.96;10.0;6.9;0.0;-1.0;a;a;90.0;Oui;1;https://world.openfoodfacts.org/product/3760049798869/pain-de-mie-bio-grandes-tranches-complet-sans-sucres-ajoutes-500g-la-boulangere
Pain de mie grandes tranches Avoine & Graines 500g – La BOULANGÈRE – 500 g;1150;1.0;2.2;3.72;12.0;6.0;0.0;0.0;a;b;71.0;Non;2;https://world.openfoodfacts.org/product/3760049798845/pain-de-mie-avoine-graines-x-14-tranches-la-boulangere
Banania Original - Cacao Céréales Touche De Banane & Miel – Banania – 400 g;1577;1.4;69.0;0.24;5.6;6.7;0.25;9.0;d;c;47.0;Non;0;https://world.openfoodfacts.org/product/3700278400881/banania-original-cocoa-cereals-with-hint-of-banana-honey
Wheat Biscuits malty & crispy – Tesco – 24x19g;1514;0.6;4.4;1.2;12.0;10.0;0.0;-3.0;a;d;39.0;Non;0;https://world.openfoodfacts.org/product/5000119117342/wheat-biscuits-malty-crispy-tesco
Pain Grillé l'Original – BRIOCHE PASQUIER – 415 g;1643;0.4;4.1;5.2;11.0;4.3;0.0;9.0;c;a;94.0;Non;1;https://world.openfoodfacts.org/product/3182180002436/pain-grille-l-original-brioche-pasquier
HERTA TARTE EN OR Pâte Feuilletée 230g – HERTA, Tarte en or – 230 g;1602;9.2;1.9;4.8;6.5;1.4;6.06875;18.0;d;d;39.0;Non;0;https://world.openfoodfacts.org/product/3154230600183/herta-tarte-en-or-pate-feuilletee-230g
Fakiat Barbeque – leader food – 18g;2145;11.2;0.5;4.4;8.0;6.2;0.0;11.0;d;b;73.0;Non;2;https://world.openfoodfacts.org/product/6111242040991/fakiat-barbeque-leader-food
Lustucru gnocchi a poêler format xxl 720g – Lustucru, Lustucru selection – 720 g;801;0.3;1.5;4.4;5.0;2.6;5.20833333333333;5.0;c;a;77.0;Non;0;https://world.openfoodfacts.org/product/3240931548135/lustucru-gnocchi-a-poeler-format-xxl-720g
Céréales Extra Pépites Chocolat Noisettes – Kellogg's – 500 g;2076;12.0;21.0;2.72;8.0;5.8;3.0;22.0;e;e;15.0;Non;1;https://world.openfoodfacts.org/product/3159470005071/cereales-extra-pepites-chocolat-noisettes-kellogg-s
Flocons d'avoine – Bjorg – 900 g;1524;1.0;0.0;0.333333333333333;10.8333333333333;11.0;0.0;-5.0;a;a;87.0;Oui;0;https://world.openfoodfacts.org/product/3229820796857/flocons-d-avoine-bjorg
Muesli Bio Superfruits – Jordans – 450 g;1520;1.0;10.2;0.12;11.2;9.4;18.0;-2.0;a;a;86.0;Oui;0;https://world.openfoodfacts.org/product/5010477354051/muesli-bio-superfruits-jordans
Cuor di Cereale – Galletas Gullon – 300 g;1921;1.7;21.0;3.0;7.2;11.0;10.8970588235294;10.0;c;b;64.0;Non;6;https://world.openfoodfacts.org/product/8410376040425/cuor-di-cereale-galletas-gullon
Pain AMS 7 céréales – Harrys – 550 g;1171;0.7;5.0;4.5200000000000005;10.7;6.5;4.74999999999999;1.0;b;a;84.0;Non;0;https://world.openfoodfacts.org/product/3228850000262/pain-ams-7-cereales-harrys
Nestlé – 100 g;2147;15.5;50.4;1.4;6.5;1.9;0.0;31.0;e;c;48.0;Non;1;https://world.openfoodfacts.org/product/8000300264388/crunch-nestle
Lentilles cuisinées, riz & soja – Céréal Bio – 250g;638;1.1;1.6;2.88;6.4;8.9;50.0;-3.0;b;a;95.0;Oui;0;https://world.openfoodfacts.org/product/3175681170872/lentilles-cuisinees-riz-soja-cereal-bio
Pain grillé Pelletier – LU, Pelletier – 500 g;1628;2.0;2.5;7.199999999999999;12.0;0.9;0.0;13.0;d;a;75.0;Non;1;https://world.openfoodfacts.org/product/7622210416667/pain-grille-pelletier-lu
Quaker Cruesli Chocolat au lait – Quaker – 450 g;1914;4.8;20.0;2.04;7.7;8.7;1.87727272727273;11.0;d;e;29.0;Non;2;https://world.openfoodfacts.org/product/3168930010890/quaker-cruesli-chocolat-au-lait
Tartined Craquantes Châtaigne – Jardin bio, Léa Nature – 150 g;1588;0.5;5.1;2.2;7.2;2.0;0.0;5.0;c;a;95.0;Oui;0;https://world.openfoodfacts.org/product/3760020508388/tartined-craquantes-chataigne-jardin-bio
chocapic – Nestlé, Chocapic – 1000 g;1624;1.1;19.9;0.8;8.5;7.7;0.0;2.0;b;c;45.0;Non;1;https://world.openfoodfacts.org/product/7613032779566/chocapic-nestle
NESTLE CHOCAPIC Céréales 750g – Nestlé – 750 g;1638;2.0;22.4;0.8799999999999999;8.8;7.5;0.0;7.0;c;d;31.0;Non;1;https://world.openfoodfacts.org/product/7613034947611/nestle-chocapic-cereales-750g
Wholewheat biscuits – By Sainsbury's;1516;0.6;4.4;1.12;12.0;10.0;0.0;-3.0;a;e;29.0;Non;0;https://world.openfoodfacts.org/product/00130530/wholewheat-biscuits-by-sainsbury-s
Prince Multicéréales Goût Chocolat Au Blé Complet – LU – 293 g ℮ (15 biscuits);1944;5.1;31.0;2.56;6.5;4.4;6.29545454545455;19.0;e;d;40.0;Non;3;https://world.openfoodfacts.org/product/7622210449313/prince-multicereales-gout-chocolat-au-ble-complet-lu
Pain au lait bio x12 420g – la boulangère – 420 g;1453;1.2;8.7;3.6;9.4;2.4;0.0;11.0;d;a;82.0;Oui;0;https://world.openfoodfacts.org/product/3760049798890/pain-au-lait-bio-x12-420g-la-boulangere
